Region,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,date_range,year,country
South Carolina,74%,1%,8%,<1%,17%,food & drink,(1/1/19 - 5/15/19),2019,usa
Hawaii,64%,1%,12%,4%,19%,food & drink,(1/1/19 - 5/15/19),2019,usa
Florida,73%,2%,10%,1%,14%,food & drink,(1/1/19 - 5/15/19),2019,usa
Louisiana,69%,2%,19%,,10%,food & drink,(1/1/19 - 5/15/19),2019,usa
Maryland,71%,4%,17%,<1%,8%,food & drink,(1/1/19 - 5/15/19),2019,usa
Delaware,74%,3%,16%,,7%,food & drink,(1/1/19 - 5/15/19),2019,usa
Georgia,69%,2%,13%,<1%,16%,food & drink,(1/1/19 - 5/15/19),2019,usa
North Carolina,70%,1%,14%,<1%,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Mississippi,74%,3%,17%,,6%,food & drink,(1/1/19 - 5/15/19),2019,usa
District of Columbia,68%,4%,19%,,9%,food & drink,(1/1/19 - 5/15/19),2019,usa
Alabama,63%,<1%,16%,,21%,food & drink,(1/1/19 - 5/15/19),2019,usa
Virginia,66%,2%,16%,1%,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Massachusetts,68%,3%,15%,1%,13%,food & drink,(1/1/19 - 5/15/19),2019,usa
New Jersey,63%,2%,13%,1%,21%,food & drink,(1/1/19 - 5/15/19),2019,usa
Texas,59%,2%,17%,<1%,22%,food & drink,(1/1/19 - 5/15/19),2019,usa
New York,58%,2%,16%,2%,22%,food & drink,(1/1/19 - 5/15/19),2019,usa
California,59%,1%,14%,1%,25%,food & drink,(1/1/19 - 5/15/19),2019,usa
Rhode Island,64%,3%,18%,,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Connecticut,59%,3%,23%,1%,14%,food & drink,(1/1/19 - 5/15/19),2019,usa
Nevada,51%,1%,18%,1%,29%,food & drink,(1/1/19 - 5/15/19),2019,usa
Tennessee,52%,2%,16%,<1%,30%,food & drink,(1/1/19 - 5/15/19),2019,usa
Pennsylvania,62%,3%,17%,1%,17%,food & drink,(1/1/19 - 5/15/19),2019,usa
Maine,48%,3%,34%,,15%,food & drink,(1/1/19 - 5/15/19),2019,usa
Oregon,61%,2%,16%,1%,20%,food & drink,(1/1/19 - 5/15/19),2019,usa
Arkansas,56%,4%,16%,,24%,food & drink,(1/1/19 - 5/15/19),2019,usa
New Hampshire,63%,4%,25%,,8%,food & drink,(1/1/19 - 5/15/19),2019,usa
Illinois,53%,3%,18%,1%,25%,food & drink,(1/1/19 - 5/15/19),2019,usa
Indiana,54%,4%,16%,1%,25%,food & drink,(1/1/19 - 5/15/19),2019,usa
Arizona,50%,2%,16%,1%,31%,food & drink,(1/1/19 - 5/15/19),2019,usa
Washington,48%,2%,24%,2%,24%,food & drink,(1/1/19 - 5/15/19),2019,usa
Ohio,51%,2%,17%,1%,29%,food & drink,(1/1/19 - 5/15/19),2019,usa
Kentucky,51%,3%,15%,,31%,food & drink,(1/1/19 - 5/15/19),2019,usa
Oklahoma,52%,2%,12%,,34%,food & drink,(1/1/19 - 5/15/19),2019,usa
Alaska,20%,,80%,,,food & drink,(1/1/19 - 5/15/19),2019,usa
West Virginia,59%,,19%,,22%,food & drink,(1/1/19 - 5/15/19),2019,usa
Vermont,40%,,20%,,40%,food & drink,(1/1/19 - 5/15/19),2019,usa
Iowa,48%,5%,25%,2%,20%,food & drink,(1/1/19 - 5/15/19),2019,usa
Wisconsin,49%,3%,20%,2%,26%,food & drink,(1/1/19 - 5/15/19),2019,usa
Colorado,41%,1%,19%,1%,38%,food & drink,(1/1/19 - 5/15/19),2019,usa
Michigan,43%,2%,28%,1%,26%,food & drink,(1/1/19 - 5/15/19),2019,usa
Kansas,46%,6%,24%,,24%,food & drink,(1/1/19 - 5/15/19),2019,usa
Missouri,37%,1%,27%,2%,33%,food & drink,(1/1/19 - 5/15/19),2019,usa
New Mexico,46%,5%,23%,,26%,food & drink,(1/1/19 - 5/15/19),2019,usa
Montana,28%,,58%,,14%,food & drink,(1/1/19 - 5/15/19),2019,usa
Utah,47%,,14%,13%,26%,food & drink,(1/1/19 - 5/15/19),2019,usa
Nebraska,38%,,40%,4%,18%,food & drink,(1/1/19 - 5/15/19),2019,usa
Minnesota,33%,5%,29%,5%,28%,food & drink,(1/1/19 - 5/15/19),2019,usa
North Dakota,50%,,50%,,,food & drink,(1/1/19 - 5/15/19),2019,usa
South Dakota,100%,,,,,food & drink,(1/1/19 - 5/15/19),2019,usa
Idaho,37%,,37%,,26%,food & drink,(1/1/19 - 5/15/19),2019,usa
Wyoming,,,,,,food & drink,(1/1/19 - 5/15/19),2019,usa