Region,seafood restaurant: (1/1/16 - 5/15/16),seafood recipe: (1/1/16 - 5/15/16),seafood delivery: (1/1/16 - 5/15/16),sushi take out: (1/1/16 - 5/15/16),bbq restaurant: (1/1/16 - 5/15/16),category,date_range,year,country
South Carolina,77%,1%,7%,<1%,15%,food & drink, (1/1/16 - 6/15/16),2016,usa
Florida,74%,1%,13%,1%,11%,food & drink, (1/1/16 - 6/15/16),2016,usa
Louisiana,71%,1%,19%,1%,8%,food & drink, (1/1/16 - 6/15/16),2016,usa
Hawaii,64%,1%,14%,,21%,food & drink, (1/1/16 - 6/15/16),2016,usa
North Carolina,73%,1%,9%,1%,16%,food & drink, (1/1/16 - 6/15/16),2016,usa
Maryland,74%,1%,13%,2%,10%,food & drink, (1/1/16 - 6/15/16),2016,usa
District of Columbia,71%,2%,14%,,13%,food & drink, (1/1/16 - 6/15/16),2016,usa
Georgia,69%,<1%,11%,<1%,20%,food & drink, (1/1/16 - 6/15/16),2016,usa
Delaware,74%,,16%,,10%,food & drink, (1/1/16 - 6/15/16),2016,usa
Virginia,73%,2%,14%,<1%,11%,food & drink, (1/1/16 - 6/15/16),2016,usa
Mississippi,71%,1%,19%,,9%,food & drink, (1/1/16 - 6/15/16),2016,usa
Alabama,60%,<1%,16%,,24%,food & drink, (1/1/16 - 6/15/16),2016,usa
Massachusetts,62%,3%,19%,2%,14%,food & drink, (1/1/16 - 6/15/16),2016,usa
California,60%,1%,11%,1%,27%,food & drink, (1/1/16 - 6/15/16),2016,usa
Texas,61%,1%,16%,<1%,22%,food & drink, (1/1/16 - 6/15/16),2016,usa
Maine,60%,3%,22%,,15%,food & drink, (1/1/16 - 6/15/16),2016,usa
New Jersey,59%,2%,13%,2%,24%,food & drink, (1/1/16 - 6/15/16),2016,usa
New Hampshire,64%,3%,25%,,8%,food & drink, (1/1/16 - 6/15/16),2016,usa
New York,57%,1%,16%,2%,24%,food & drink, (1/1/16 - 6/15/16),2016,usa
Rhode Island,52%,,29%,,19%,food & drink, (1/1/16 - 6/15/16),2016,usa
Illinois,60%,1%,12%,2%,25%,food & drink, (1/1/16 - 6/15/16),2016,usa
Nevada,57%,1%,7%,1%,34%,food & drink, (1/1/16 - 6/15/16),2016,usa
Connecticut,57%,2%,15%,4%,22%,food & drink, (1/1/16 - 6/15/16),2016,usa
Pennsylvania,59%,3%,20%,2%,16%,food & drink, (1/1/16 - 6/15/16),2016,usa
Oregon,60%,1%,17%,1%,21%,food & drink, (1/1/16 - 6/15/16),2016,usa
Washington,53%,<1%,20%,1%,26%,food & drink, (1/1/16 - 6/15/16),2016,usa
Tennessee,47%,1%,16%,2%,34%,food & drink, (1/1/16 - 6/15/16),2016,usa
New Mexico,53%,4%,8%,,35%,food & drink, (1/1/16 - 6/15/16),2016,usa
Vermont,57%,,31%,,12%,food & drink, (1/1/16 - 6/15/16),2016,usa
Michigan,55%,1%,16%,4%,24%,food & drink, (1/1/16 - 6/15/16),2016,usa
Kentucky,55%,4%,17%,,24%,food & drink, (1/1/16 - 6/15/16),2016,usa
Ohio,55%,,18%,1%,26%,food & drink, (1/1/16 - 6/15/16),2016,usa
Colorado,42%,1%,22%,2%,33%,food & drink, (1/1/16 - 6/15/16),2016,usa
North Dakota,33%,,67%,,,food & drink, (1/1/16 - 6/15/16),2016,usa
Alaska,42%,,58%,,,food & drink, (1/1/16 - 6/15/16),2016,usa
Arizona,42%,1%,17%,4%,36%,food & drink, (1/1/16 - 6/15/16),2016,usa
Indiana,45%,1%,18%,1%,35%,food & drink, (1/1/16 - 6/15/16),2016,usa
Missouri,40%,2%,18%,4%,36%,food & drink, (1/1/16 - 6/15/16),2016,usa
Wyoming,,,,,100%,food & drink, (1/1/16 - 6/15/16),2016,usa
Oklahoma,35%,3%,23%,,39%,food & drink, (1/1/16 - 6/15/16),2016,usa
West Virginia,50%,,20%,,30%,food & drink, (1/1/16 - 6/15/16),2016,usa
Utah,48%,,11%,6%,35%,food & drink, (1/1/16 - 6/15/16),2016,usa
Arkansas,38%,,36%,,26%,food & drink, (1/1/16 - 6/15/16),2016,usa
Kansas,39%,,29%,,32%,food & drink, (1/1/16 - 6/15/16),2016,usa
Wisconsin,35%,,25%,5%,35%,food & drink, (1/1/16 - 6/15/16),2016,usa
Minnesota,38%,1%,31%,4%,26%,food & drink, (1/1/16 - 6/15/16),2016,usa
Iowa,39%,9%,14%,4%,34%,food & drink, (1/1/16 - 6/15/16),2016,usa
Idaho,29%,,38%,,33%,food & drink, (1/1/16 - 6/15/16),2016,usa
Montana,40%,,40%,,20%,food & drink, (1/1/16 - 6/15/16),2016,usa
Nebraska,16%,,38%,8%,38%,food & drink, (1/1/16 - 6/15/16),2016,usa
South Dakota,,,,,,food & drink, (1/1/16 - 6/15/16),2016,usa