Region,bbq restaurant: (1/1/20 - 5/13/20),seafood restaurant: (1/1/20 - 5/13/20),seafood delivery: (1/1/20 - 5/13/20),seafood recipe: (1/1/20 - 5/13/20),category,year
Louisiana,0.07,0.66,0.05,0.22,food_drink,2020
Delaware,0.06,0.69,0.07,0.18,food_drink,2020
Hawaii,0.15,0.58,,0.27,food_drink,2020
Maryland,0.10,0.60,0.08,0.22,food_drink,2020
South Carolina,0.12,0.64,0.03,0.21,food_drink,2020
Florida,0.15,0.65,0.04,0.16,food_drink,2020
North Carolina,0.15,0.62,0.05,0.18,food_drink,2020
Georgia,0.15,0.59,0.05,0.21,food_drink,2020
Virginia,0.17,0.60,0.05,0.18,food_drink,2020
District of Columbia,0.10,0.55,0.08,0.27,food_drink,2020
Alabama,0.24,0.56,0.04,0.16,food_drink,2020
Mississippi,0.14,0.51,0.05,0.30,food_drink,2020
New Jersey,0.17,0.54,0.06,0.23,food_drink,2020
New York,0.17,0.52,0.07,0.24,food_drink,2020
Massachusetts,0.11,0.57,0.08,0.24,food_drink,2020
Texas,0.21,0.52,0.05,0.22,food_drink,2020
Pennsylvania,0.15,0.52,0.08,0.25,food_drink,2020
Maine,0.09,0.48,0.06,0.37,food_drink,2020
Nevada,0.27,0.43,0.06,0.24,food_drink,2020
Tennessee,0.24,0.46,0.04,0.26,food_drink,2020
Rhode Island,0.08,0.45,0.15,0.32,food_drink,2020
Connecticut,0.12,0.50,0.08,0.30,food_drink,2020
California,0.24,0.48,0.05,0.23,food_drink,2020
New Hampshire,0.17,0.53,0.07,0.23,food_drink,2020
Ohio,0.18,0.47,0.07,0.28,food_drink,2020
Illinois,0.23,0.43,0.05,0.29,food_drink,2020
Washington,0.22,0.44,0.03,0.31,food_drink,2020
Kentucky,0.18,0.48,0.06,0.28,food_drink,2020
Indiana,0.20,0.42,0.08,0.30,food_drink,2020
Oregon,0.19,0.46,0.05,0.30,food_drink,2020
Arkansas,0.24,0.40,0.11,0.25,food_drink,2020
Kansas,0.21,0.51,0.06,0.22,food_drink,2020
Missouri,0.31,0.36,0.06,0.27,food_drink,2020
Oklahoma,0.35,0.44,0.02,0.19,food_drink,2020
Michigan,0.21,0.42,0.04,0.33,food_drink,2020
Arizona,0.32,0.42,0.04,0.22,food_drink,2020
Colorado,0.30,0.42,0.04,0.24,food_drink,2020
New Mexico,0.23,0.43,0.05,0.29,food_drink,2020
Vermont,0.36,0.41,,0.23,food_drink,2020
Minnesota,0.22,0.37,0.03,0.38,food_drink,2020
Alaska,,0.50,,0.50,food_drink,2020
West Virginia,0.32,0.39,,0.29,food_drink,2020
Wisconsin,0.33,0.33,0.03,0.31,food_drink,2020
Idaho,0.20,0.36,,0.44,food_drink,2020
Iowa,0.20,0.44,0.08,0.28,food_drink,2020
South Dakota,,1.00,,,food_drink,2020
Montana,0.39,0.15,,0.46,food_drink,2020
Utah,0.34,0.40,0.03,0.23,food_drink,2020
Nebraska,0.42,0.31,,0.27,food_drink,2020
North Dakota,,0.33,,0.67,food_drink,2020
Wyoming,,,,,food_drink,2020
South Carolina,0.14,0.78,0.02,0.06,food_drink,2019
Hawaii,0.19,0.68,0.03,0.10,food_drink,2019
Louisiana,0.06,0.76,0.02,0.16,food_drink,2019
Florida,0.14,0.73,0.02,0.11,food_drink,2019
Maryland,0.12,0.74,0.02,0.12,food_drink,2019
Georgia,0.15,0.67,0.03,0.15,food_drink,2019
North Carolina,0.16,0.70,0.02,0.12,food_drink,2019
Delaware,0.10,0.70,0.03,0.17,food_drink,2019
Mississippi,0.12,0.67,0.01,0.20,food_drink,2019
Alabama,0.20,0.66,0.01,0.13,food_drink,2019
Virginia,0.15,0.65,0.02,0.18,food_drink,2019
District of Columbia,0.15,0.67,0.04,0.14,food_drink,2019
New Jersey,0.25,0.62,0.01,0.12,food_drink,2019
Texas,0.25,0.58,0.02,0.15,food_drink,2019
Massachusetts,0.16,0.65,0.03,0.16,food_drink,2019
Connecticut,0.13,0.69,0.02,0.16,food_drink,2019
New York,0.23,0.57,0.02,0.18,food_drink,2019
California,0.26,0.60,<1%,0.14,food_drink,2019
New Hampshire,0.15,0.70,,0.15,food_drink,2019
Nevada,0.35,0.42,0.01,0.22,food_drink,2019
Maine,0.17,0.53,,0.30,food_drink,2019
Tennessee,0.33,0.49,0.01,0.17,food_drink,2019
Illinois,0.27,0.54,0.02,0.17,food_drink,2019
Pennsylvania,0.17,0.54,0.05,0.24,food_drink,2019
Alaska,,0.31,,0.69,food_drink,2019
Washington,0.23,0.49,0.01,0.27,food_drink,2019
Arkansas,0.19,0.53,,0.28,food_drink,2019
Oregon,0.21,0.56,0.02,0.21,food_drink,2019
Arizona,0.29,0.55,0.02,0.14,food_drink,2019
Rhode Island,0.17,0.53,0.05,0.25,food_drink,2019
Oklahoma,0.34,0.52,0.02,0.12,food_drink,2019
Kentucky,0.31,0.46,0.03,0.20,food_drink,2019
Indiana,0.27,0.50,0.02,0.21,food_drink,2019
Michigan,0.25,0.48,0.02,0.25,food_drink,2019
West Virginia,0.25,0.48,,0.27,food_drink,2019
Ohio,0.26,0.50,0.01,0.23,food_drink,2019
Missouri,0.30,0.46,0.01,0.23,food_drink,2019
Vermont,0.14,0.57,,0.29,food_drink,2019
Wyoming,1.00,,,,food_drink,2019
Wisconsin,0.30,0.49,0.02,0.19,food_drink,2019
New Mexico,0.22,0.49,0.04,0.25,food_drink,2019
Colorado,0.36,0.44,0.01,0.19,food_drink,2019
Kansas,0.41,0.34,0.08,0.17,food_drink,2019
Montana,0.31,,,0.69,food_drink,2019
North Dakota,,0.64,,0.36,food_drink,2019
Iowa,0.30,0.20,0.03,0.47,food_drink,2019
South Dakota,,1.00,,,food_drink,2019
Minnesota,0.36,0.35,0.02,0.27,food_drink,2019
Utah,0.36,0.42,,0.22,food_drink,2019
Nebraska,0.27,0.30,,0.43,food_drink,2019
Idaho,0.42,0.32,,0.26,food_drink,2019